day,ua_form_factor,ua_os_version,location_city,location_region,referrer_host,referrer_url,total_visitors,total_sessions,avg_duration,total_bounce_rate,total_carts,total_checkouts
2022-04-20,Desktop,11,Council Bluffs,Iowa,,,1,1,0s,1,0,0
2022-04-22,Mobile,15,Monterrey,Nuevo León,,,1,1,0s,1,0,0
2022-02-28,,,,,,,0,0,0s,0,0,0
2022-04-20,Mobile,15,,,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-03-07,,,,,,,0,0,0s,0,0,0
2022-04-20,Mobile,6,Tijuana,Baja California,l.facebook.com,l.facebook.com,1,1,0s,1,0,0
2022-04-04,Desktop,11,,,,,1,1,0s,1,0,0
2022-04-20,Mobile,11,León,Guanajuato,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-04,Desktop,10,Guadalajara,Jalisco,albanamx.myshopify.com,albanamx.myshopify.com/collections/backpack,1,1,32s,0,0,0
2022-04-20,Mobile,11,Durango,Durango,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-04,Mobile,15,,,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-20,Mobile,10,Zapopan,Jalisco,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-24,Desktop,11,Council Bluffs,Iowa,,,1,1,0s,1,0,0
2022-04-20,Mobile,12,,,www.facebook.com,www.facebook.com,2,2,0s,1,0,0
2022-04-08,Desktop,11,Council Bluffs,Iowa,,,4,4,0s,1,0,0
2022-04-01,Desktop,10,,,albanamx.myshopify.com,albanamx.myshopify.com/collections/all,1,1,0s,1,0,0
2022-03-05,,,,,,,0,0,0s,0,0,0
2022-03-14,Desktop,,,,,,8,8,0s,1,0,0
2022-04-24,Desktop,11,,,,,2,2,0s,1,0,0
2022-04-16,Desktop,10,,,,,2,2,0s,1,0,0
2022-04-22,Mobile,10,León,Guanajuato,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-16,Mobile,14,,,www.facebook.com,www.facebook.com,2,2,0s,1,0,0
2022-04-14,Desktop,11,,,,,2,2,0s,1,0,0
2022-04-11,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-02-12,,,,,,,0,0,0s,0,0,0
2022-04-19,Desktop,,Council Bluffs,Iowa,,,4,4,0s,1,0,0
2022-04-09,Desktop,11,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-04-22,Mobile,15,León,Guanajuato,albanamx.myshopify.com,albanamx.myshopify.com,1,1,0s,1,0,0
2022-02-14,,,,,,,0,0,0s,0,0,0
2022-04-02,,,,,,,0,0,0s,0,0,0
2022-04-17,Desktop,11,Council Bluffs,Iowa,,,2,2,0s,1,0,0
2022-04-21,Mobile,10,León,Guanajuato,lm.facebook.com,lm.facebook.com,2,2,0s,1,0,0
2022-04-20,Desktop,10,Monterrey,Nuevo León,albanamx.myshopify.com,albanamx.myshopify.com/collections/crossbody,1,1,1h10m55s,0,0,0
2022-04-23,Desktop,11,,,,,1,1,0s,1,0,0
2022-03-31,Desktop,,Council Bluffs,Iowa,,,1,1,0s,1,0,0
2022-04-01,Desktop,10,Monterrey,Nuevo León,albanamx.myshopify.com,albanamx.myshopify.com/products/julie-color-serpent-nude,1,1,0s,1,0,0
2022-04-19,Mobile,10,León,Guanajuato,lm.facebook.com,lm.facebook.com,2,2,0s,1,0,0
2022-03-27,,,,,,,0,0,0s,0,0,0
2022-03-24,,,,,,,0,0,0s,0,0,0
2022-04-22,Mobile,11,León,Guanajuato,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-02-10,,,,,,,0,0,0s,0,0,0
2022-03-28,,,,,,,0,0,0s,0,0,0
2022-04-18,Mobile,7,Guadalajara,Jalisco,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-16,Other,,,,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-03-22,,,,,,,0,0,0s,0,0,0
2022-02-16,,,,,,,0,0,0s,0,0,0
2022-04-26,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-04-16,Mobile,8,,,www.facebook.com,www.facebook.com,1,1,0s,1,0,0
2022-03-11,Mobile,15,León,Guanajuato,,,2,2,3m0.5s,0,1,0
2022-03-02,,,,,,,0,0,0s,0,0,0
2022-04-21,Mobile,8,León,Guanajuato,,,1,1,1m34s,0,0,0
2022-03-08,,,,,,,0,0,0s,0,0,0
2022-04-21,Mobile,15,León,Guanajuato,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-17,Mobile,8,Iztapalapa,Mexico City,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-02-20,,,,,,,0,0,0s,0,0,0
2022-03-09,,,,,,,0,0,0s,0,0,0
2022-04-23,Mobile,10,San Francisco del Rincón,Guanajuato,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-27,Desktop,11,,,,,1,1,0s,1,0,0
2022-04-06,Desktop,11,Council Bluffs,Iowa,,,3,3,0s,1,0,0
2022-04-19,Mobile,11,Guadalajara,Jalisco,m.facebook.com,m.facebook.com,1,1,0s,1,0,0
2022-04-30,Desktop,11,,,,,1,1,0s,1,0,0
2022-02-23,,,,,,,0,0,0s,0,0,0
2022-03-03,,,,,,,0,0,0s,0,0,0
2022-04-19,Mobile,10,Zapopan,Jalisco,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-22,Mobile,9,Guadalajara,Jalisco,lm.facebook.com,lm.facebook.com,1,1,0s,1,0,0
2022-04-10,Desktop,11,Council Bluffs,Iowa,,,1,1,0s,1,0,0
2022-04-22,Mobile,6,Tijuana,Baja California,l.facebook.com,l.facebook.com,1,1,0s,1,0,0
2022-04-19,Desktop,10,Monterrey,Nuevo León,albanamx.myshopify.com,albanamx.myshopify.com,1,1,1h25m25s,0,0,0
2022-04-22,Mobile,15,Monterrey,Nuevo León,m.facebook.com,m.facebook.com,1,3,14.333333333s,0.33333,0,0
2022-04-29,Mobile,6,Tijuana,Baja California,l.facebook.com,l.facebook.com,1,1,0s,1,0,0
2022-04-22,Desktop,11,Council Bluffs,Iowa,,,2,2,0s,1,0,0
